Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-47.814323	90.74916	63.98571	-209.2492	991.4	-2.7293823	4.8618526	22.182968	-26.440355	140000	0.0	418.1283	-0.013482208	-152.05295	0.9216	0.004467443	0.0452	79.0	243.12090635299683
28	-14.752423	20.074638	13.251955	-41.85139	1000.0	-9.032127	9.18645	22.507734	-35.582836	145000	2.0980835e-09	128.69589	-0.010961028	-70.4901	0.952167	0.007441835	0.0986	79.0	256.2466080188751
29	-30.05956	23.541117	-4.691657	-69.30632	1000.0	-1.9101187	4.578664	20.493183	-7.8996964	150000	-2.4032593e-08	35.51289	-0.0059863804	-9.074789	0.9254074	0.0053658285	0.0566	79.0	267.74393820762634
30	-20.865711	16.346308	8.365651	-33.76914	1000.0	-3.4284263	5.9432373	21.181551	-11.100079	155000	6.1035155e-09	33.767174	-0.009609826	-6.295084	0.9126581	0.013734576	0.0796	79.0	278.54079270362854
31	-20.269047	20.863049	7.248854	-55.64146	1000.0	-4.2822285	6.6156316	41.069603	-10.373012	160000	6.1035155e-09	26.176859	-0.006257544	-4.1888847	0.8992281	0.0048714736	0.045	79.0	289.78047800064087
32	-22.632427	17.965391	6.289753	-49.957035	1000.0	-4.4324985	6.938155	40.50059	-12.301583	165000	-4.386902e-09	27.496738	-0.008373511	-4.036928	0.89558905	0.0065181153	0.054	79.0	299.3548665046692
33	-22.121046	10.799897	-8.094617	-38.03915	1000.0	-5.0581183	7.8166323	51.97071	-14.907966	170000	2.4795532e-09	21.836231	-0.006947236	-1.9889469	0.8811258	0.0050228317	0.0428	79.0	310.0933289527893
34	-29.66037	24.551989	12.82118	-56.188572	1000.0	-4.310075	7.240924	46.134476	-13.593494	175000	2.4414062e-08	20.349495	-0.007100781	-2.8148613	0.8618768	0.0030421265	0.0444	79.0	321.96190333366394
35	-16.708996	18.692724	8.3267975	-43.99301	1000.0	-5.1921477	8.766355	59.83862	-13.27274	180000	-7.629395e-09	22.127779	-0.0071544014	-3.7981358	0.8339535	0.006802485	0.0436	79.0	333.0239768028259
36	-37.513275	16.678219	-18.95718	-68.23328	1000.0	-4.137837	6.1584063	29.3094	-10.577565	185000	-4.386902e-09	17.592497	-0.0061451634	-3.7666721	0.84893465	0.001545761	0.0378	79.0	343.4672245979309
37	-34.73945	20.027172	-2.987875	-60.763493	1000.0	-5.015936	8.9607115	53.420963	-16.10006	190000	-7.629395e-09	17.883978	-0.0074613527	-2.6065855	0.84282255	0.0017103961	0.0492	79.0	353.7475428581238
38	-35.87622	7.9216547	-23.48686	-44.27349	1000.0	-6.741753	8.952398	45.45997	-14.265712	195000	1.2207031e-08	19.198427	-0.009645192	-4.7594175	0.83879817	0.010589019	0.0708	79.0	364.5410101413727
39	-48.023518	9.878134	-37.654972	-63.72445	1000.0	-6.3392944	8.537978	43.784332	-14.518474	200000	-7.629395e-09	18.414322	-0.00563333	-3.2747316	0.8409514	0.005007476	0.025	79.0	375.85155057907104
40	-30.14919	9.307602	-13.289755	-38.939613	1000.0	-4.8396506	10.071384	61.832462	-14.600415	205000	-4.2724608e-08	32.794	-0.008261087	-10.354622	0.83445036	0.008030104	0.0628	79.0	387.43747901916504
41	-44.016716	12.372195	-24.35376	-59.65357	1000.0	-5.7396183	9.200624	52.50447	-14.257697	210000	-5.722046e-09	23.196821	-0.008469913	-3.7015896	0.8261806	0.004548729	0.0546	79.0	398.17518043518066
42	-41.32729	7.1822324	-30.166178	-51.83501	1000.0	-6.505934	9.682884	53.94762	-14.734276	215000	-6.1035155e-09	24.442995	-0.008378642	-3.9912262	0.8369613	0.0054619103	0.056	79.0	409.23131370544434
43	-25.370655	11.3644	-13.285	-46.713726	1000.0	-5.135715	7.4702716	31.788898	-14.475099	220000	-9.536744e-10	17.72134	-0.0064588934	-2.382928	0.84748477	0.0067102388	0.0506	79.0	420.96679735183716
